cm_comp_name:, cm_comp_rid:1841, cm_out:0.015, cm_netto:0.03, cm_brutto:0.03, cm_rid:45464, cm_date:1
cm_comp_name:, cm_comp_rid:31063, cm_out:0, cm_netto:0, cm_brutto:1, cm_rid:44288, cm_date:0
cm_comp_name:, cm_comp_rid:3480, cm_out:1, cm_netto:3.65, cm_brutto:3.65, cm_rid:44288, cm_date:1
cm_comp_name:, cm_comp_rid:30943, cm_out:0, cm_netto:0, cm_brutto:1, cm_rid:44055, cm_date:0
cm_comp_name:, cm_comp_rid:30894, cm_out:1.5, cm_netto:1.5, cm_brutto:1.5, cm_rid:44055, cm_date:1
cm_comp_name:, cm_comp_rid:30894, cm_out:0, cm_netto:0, cm_brutto:2, cm_rid:45048, cm_date:0
cm_comp_name:, cm_comp_rid:17628, cm_out:1, cm_netto:1.5, cm_brutto:1.5, cm_rid:45048, cm_date:1
cm_comp_name:, cm_comp_rid:2147, cm_out:1, cm_netto:1, cm_brutto:1, cm_rid:45048, cm_date:1
cm_comp_name:, cm_comp_rid:30885, cm_out:0, cm_netto:0, cm_brutto:1.125, cm_rid:44809, cm_date:0
cm_comp_name:, cm_comp_rid:1435, cm_out:1.125, cm_netto:1.125, cm_brutto:1.25, cm_rid:44809, cm_date:1
cm_comp_name:, cm_comp_rid:57354, cm_out:1.25, cm_netto:1.25, cm_brutto:1.25, cm_rid:44809, cm_date:1
cm_comp_name:, cm_comp_rid:1368, cm_out:0.045, cm_netto:0.045, cm_brutto:0.045, cm_rid:44809, cm_date:1
cm_comp_name:, cm_comp_rid:29797, cm_out:0, cm_netto:0, cm_brutto:2, cm_rid:46038, cm_date:0
cm_comp_name:, cm_comp_rid:1388, cm_out:0.1, cm_netto:0.1, cm_brutto:0.1, cm_rid:46038, cm_date:1
cm_comp_name:, cm_comp_rid:1379, cm_out:0.4, cm_netto:0.4, cm_brutto:0.4, cm_rid:46038, cm_date:1
cm_comp_name:, cm_comp_rid:1605, cm_out:0.5, cm_netto:0.5, cm_brutto:0.5, cm_rid:46038, cm_date:1
cm_comp_name:, cm_comp_rid:19833, cm_out:0.2, cm_netto:0.2, cm_brutto:0.2, cm_rid:46038, cm_date:1
cm_comp_name:, cm_comp_rid:25795, cm_out:2.5, cm_netto:2.5, cm_brutto:2.5, cm_rid:46038, cm_date:1
cm_comp_name:, cm_comp_rid:28758, cm_out:0, cm_netto:0, cm_brutto:1.25, cm_rid:40445, cm_date:0
cm_comp_name:, cm_comp_rid:21512, cm_out:0.15, cm_netto:0.15, cm_brutto:0.17, cm_rid:40445, cm_date:1
cm_comp_name:, cm_comp_rid:6473, cm_out:0.35, cm_netto:0.35, cm_brutto:0.4, cm_rid:40445, cm_date:1
cm_comp_name:, cm_comp_rid:20689, cm_out:0.25, cm_netto:0.25, cm_brutto:0.28, cm_rid:40445, cm_date:1
cm_comp_name:, cm_comp_rid:19851, cm_out:0.5, cm_netto:0.5, cm_brutto:0.5, cm_rid:40445, cm_date:1
cm_comp_name:, cm_comp_rid:1388, cm_out:0.008, cm_netto:0.008, cm_brutto:0.008, cm_rid:40445, cm_date:1
cm_comp_name:, cm_comp_rid:3299, cm_out:0.008, cm_netto:0.008, cm_brutto:0.014, cm_rid:40445, cm_date:1
cm_comp_name:, cm_comp_rid:19833, cm_out:0.02, cm_netto:0.02, cm_brutto:0.02, cm_rid:40445, cm_date:1
cm_comp_name:, cm_comp_rid:1388, cm_out:0.016, cm_netto:0.016, cm_brutto:0.016, cm_rid:40445, cm_date:1
cm_comp_name:, cm_comp_rid:19739, cm_out:0.02, cm_netto:0.02, cm_brutto:0.02, cm_rid:40445, cm_date:1
cm_comp_name:, cm_comp_rid:18304, cm_out:0.25, cm_netto:0.25, cm_brutto:0.27, cm_rid:40445, cm_date:1
cm_comp_name:, cm_comp_rid:20478, cm_out:0.012, cm_netto:0.012, cm_brutto:0.015, cm_rid:40445, cm_date:1
cm_comp_name:, cm_comp_rid:1368, cm_out:0.016, cm_netto:0.016, cm_brutto:0.016, cm_rid:40445, cm_date:1
cm_comp_name:, cm_comp_rid:1348, cm_out:0.012, cm_netto:0.012, cm_brutto:0.012, cm_rid:40445, cm_date:1
cm_comp_name:, cm_comp_rid:1388, cm_out:0.008, cm_netto:0.008, cm_brutto:0.008, cm_rid:40445, cm_date:1
cm_comp_name:, cm_comp_rid:27917, cm_out:0, cm_netto:0, cm_brutto:1, cm_rid:45507, cm_date:0
cm_comp_name:, cm_comp_rid:1388, cm_out:0.001, cm_netto:0.001, cm_brutto:0.001, cm_rid:45507, cm_date:1
cm_comp_name:, cm_comp_rid:19785, cm_out:0.035, cm_netto:0.035, cm_brutto:0.035, cm_rid:45507, cm_date:1
cm_comp_name:, cm_comp_rid:27859, cm_out:0.05, cm_netto:0.05, cm_brutto:0.05, cm_rid:45507, cm_date:1
cm_comp_name:, cm_comp_rid:27860, cm_out:0.085, cm_netto:0.085, cm_brutto:0.085, cm_rid:45507, cm_date:1
cm_comp_name:, cm_comp_rid:64125, cm_out:0.07, cm_netto:0.07, cm_brutto:0.07, cm_rid:45507, cm_date:1
cm_comp_name:, cm_comp_rid:27916, cm_out:0, cm_netto:0, cm_brutto:1, cm_rid:39238, cm_date:0
cm_comp_name:, cm_comp_rid:27913, cm_out:0.5, cm_netto:0.5, cm_brutto:0.5, cm_rid:39238, cm_date:1
cm_comp_name:, cm_comp_rid:6024, cm_out:1, cm_netto:1.25, cm_brutto:1.25, cm_rid:39238, cm_date:1
cm_comp_name:, cm_comp_rid:27915, cm_out:0, cm_netto:0, cm_brutto:1, cm_rid:39237, cm_date:0
cm_comp_name:, cm_comp_rid:27913, cm_out:0.5, cm_netto:0.5, cm_brutto:0.5, cm_rid:39237, cm_date:1
cm_comp_name:, cm_comp_rid:49038, cm_out:1, cm_netto:1.6, cm_brutto:1.6, cm_rid:39237, cm_date:1
cm_comp_name:, cm_comp_rid:27914, cm_out:0, cm_netto:0, cm_brutto:1, cm_rid:39236, cm_date:0
cm_comp_name:, cm_comp_rid:94646, cm_out:1, cm_netto:3.3, cm_brutto:3.3, cm_rid:39236, cm_date:1
cm_comp_name:, cm_comp_rid:27913, cm_out:0.5, cm_netto:0.5, cm_brutto:0.5, cm_rid:39236, cm_date:1
cm_comp_name:, cm_comp_rid:27912, cm_out:0, cm_netto:0, cm_brutto:1, cm_rid:40461, cm_date:0
cm_comp_name:, cm_comp_rid:1388, cm_out:0.001, cm_netto:0.001, cm_brutto:0.001, cm_rid:40461, cm_date:1
cm_comp_name:, cm_comp_rid:27911, cm_out:0.13, cm_netto:0.13, cm_brutto:0.13, cm_rid:40461, cm_date:1
cm_comp_name:, cm_comp_rid:20860, cm_out:0.6, cm_netto:0.065, cm_brutto:0.065, cm_rid:40461, cm_date:1
cm_comp_name:, cm_comp_rid:19383, cm_out:0.04, cm_netto:0.04, cm_brutto:0.045, cm_rid:40461, cm_date:1
cm_comp_name:, cm_comp_rid:1535, cm_out:0.001, cm_netto:0.001, cm_brutto:0.002, cm_rid:40461, cm_date:1
cm_comp_name:, cm_comp_rid:27911, cm_out:0, cm_netto:0, cm_brutto:1, cm_rid:39233, cm_date:0
cm_comp_name:, cm_comp_rid:27910, cm_out:0.5, cm_netto:0.5, cm_brutto:0.5, cm_rid:39233, cm_date:1
cm_comp_name:, cm_comp_rid:7946, cm_out:1, cm_netto:1.25, cm_brutto:1.25, cm_rid:39233, cm_date:1
cm_comp_name:, cm_comp_rid:27861, cm_out:0, cm_netto:0, cm_brutto:1, cm_rid:45514, cm_date:0
cm_comp_name:, cm_comp_rid:27859, cm_out:0.07, cm_netto:0.07, cm_brutto:0.07, cm_rid:45514, cm_date:1
cm_comp_name:, cm_comp_rid:27860, cm_out:0.06, cm_netto:0.06, cm_brutto:0.06, cm_rid:45514, cm_date:1
cm_comp_name:, cm_comp_rid:19790, cm_out:0.04, cm_netto:0.04, cm_brutto:0.045, cm_rid:45514, cm_date:1
cm_comp_name:, cm_comp_rid:1388, cm_out:0.001, cm_netto:0.001, cm_brutto:0.001, cm_rid:45514, cm_date:1
cm_comp_name:, cm_comp_rid:63428, cm_out:0.1, cm_netto:0.1, cm_brutto:0.1, cm_rid:45514, cm_date:1
cm_comp_name:, cm_comp_rid:27860, cm_out:0, cm_netto:0, cm_brutto:1, cm_rid:39167, cm_date:0
cm_comp_name:, cm_comp_rid:1475, cm_out:1, cm_netto:1.25, cm_brutto:1.25, cm_rid:39167, cm_date:1
cm_comp_name:, cm_comp_rid:27857, cm_out:0.5, cm_netto:0.5, cm_brutto:0.5, cm_rid:39167, cm_date:1
cm_comp_name:, cm_comp_rid:27859, cm_out:0, cm_netto:0, cm_brutto:1, cm_rid:39166, cm_date:0
cm_comp_name:, cm_comp_rid:9806, cm_out:1.625, cm_netto:2.6, cm_brutto:2.6, cm_rid:39166, cm_date:1
cm_comp_name:, cm_comp_rid:27857, cm_out:0.5, cm_netto:0.5, cm_brutto:0.5, cm_rid:39166, cm_date:1
cm_comp_name:, cm_comp_rid:27858, cm_out:0, cm_netto:0, cm_brutto:1, cm_rid:39165, cm_date:0
cm_comp_name:, cm_comp_rid:49656, cm_out:1, cm_netto:1.25, cm_brutto:1.25, cm_rid:39165, cm_date:1
cm_comp_name:, cm_comp_rid:27857, cm_out:0.5, cm_netto:0.5, cm_brutto:0.5, cm_rid:39165, cm_date:1
cm_comp_name:, cm_comp_rid:27635, cm_out:0, cm_netto:0, cm_brutto:1, cm_rid:38911, cm_date:0
cm_comp_name:, cm_comp_rid:6492, cm_out:1, cm_netto:7.5, cm_brutto:7.5, cm_rid:38911, cm_date:1
cm_comp_name:, cm_comp_rid:27363, cm_out:0, cm_netto:0, cm_brutto:1, cm_rid:38406, cm_date:0
cm_comp_name:, cm_comp_rid:20354, cm_out:0.3, cm_netto:0.35, cm_brutto:0.35, cm_rid:38406, cm_date:1
cm_comp_name:, cm_comp_rid:27265, cm_out:0, cm_netto:0, cm_brutto:2.5, cm_rid:38251, cm_date:0
cm_comp_name:, cm_comp_rid:19747, cm_out:0.4, cm_netto:0.4, cm_brutto:0.4, cm_rid:38251, cm_date:1
cm_comp_name:, cm_comp_rid:27264, cm_out:1.7, cm_netto:1.7, cm_brutto:1.7, cm_rid:38251, cm_date:1
cm_comp_name:, cm_comp_rid:1410, cm_out:4, cm_netto:4, cm_brutto:4, cm_rid:38251, cm_date:1
cm_comp_name:, cm_comp_rid:27257, cm_out:0.6, cm_netto:0.6, cm_brutto:0.6, cm_rid:38251, cm_date:1
cm_comp_name:, cm_comp_rid:1414, cm_out:0.1, cm_netto:0.1, cm_brutto:0.1, cm_rid:38251, cm_date:1
cm_comp_name:, cm_comp_rid:1831, cm_out:0.05, cm_netto:0.05, cm_brutto:0.05, cm_rid:38251, cm_date:1
cm_comp_name:, cm_comp_rid:27262, cm_out:0, cm_netto:0, cm_brutto:2.7, cm_rid:38790, cm_date:0
cm_comp_name:, cm_comp_rid:19368, cm_out:0.45, cm_netto:0.47, cm_brutto:0.47, cm_rid:38790, cm_date:1
cm_comp_name:, cm_comp_rid:2399, cm_out:1.15, cm_netto:1.16, cm_brutto:1.16, cm_rid:38790, cm_date:1
cm_comp_name:, cm_comp_rid:27254, cm_out:0.5, cm_netto:0.53, cm_brutto:0.53, cm_rid:38790, cm_date:1
cm_comp_name:, cm_comp_rid:1410, cm_out:3, cm_netto:3, cm_brutto:3, cm_rid:38790, cm_date:1
cm_comp_name:, cm_comp_rid:27257, cm_out:0.6, cm_netto:0.65, cm_brutto:0.65, cm_rid:38790, cm_date:1
cm_comp_name:, cm_comp_rid:1414, cm_out:0.1, cm_netto:0.11, cm_brutto:0.11, cm_rid:38790, cm_date:1
cm_comp_name:, cm_comp_rid:1833, cm_out:0.05, cm_netto:0.06, cm_brutto:0.06, cm_rid:38790, cm_date:1
cm_comp_name:, cm_comp_rid:27261, cm_out:0, cm_netto:0, cm_brutto:2.7, cm_rid:38791, cm_date:0
cm_comp_name:, cm_comp_rid:20912, cm_out:2.1, cm_netto:2.4, cm_brutto:2.4, cm_rid:38791, cm_date:1
cm_comp_name:, cm_comp_rid:27254, cm_out:0.3, cm_netto:0.32, cm_brutto:0.32, cm_rid:38791, cm_date:1
cm_comp_name:, cm_comp_rid:1410, cm_out:4, cm_netto:4, cm_brutto:4, cm_rid:38791, cm_date:1
cm_comp_name:, cm_comp_rid:27257, cm_out:0.6, cm_netto:0.65, cm_brutto:0.65, cm_rid:38791, cm_date:1
cm_comp_name:, cm_comp_rid:1368, cm_out:0.01, cm_netto:0.01, cm_brutto:0.01, cm_rid:38791, cm_date:1
cm_comp_name:, cm_comp_rid:27260, cm_out:0, cm_netto:0, cm_brutto:2.7, cm_rid:38246, cm_date:0
cm_comp_name:, cm_comp_rid:1989, cm_out:1.8, cm_netto:1.8, cm_brutto:1.8, cm_rid:38246, cm_date:1
cm_comp_name:, cm_comp_rid:27254, cm_out:0.45, cm_netto:0.45, cm_brutto:0.45, cm_rid:38246, cm_date:1
cm_comp_name:, cm_comp_rid:1410, cm_out:1, cm_netto:1, cm_brutto:1, cm_rid:38246, cm_date:1
cm_comp_name:, cm_comp_rid:27257, cm_out:0.6, cm_netto:0.6, cm_brutto:0.6, cm_rid:38246, cm_date:1
cm_comp_name:, cm_comp_rid:27259, cm_out:0.2, cm_netto:0.2, cm_brutto:0.2, cm_rid:38246, cm_date:1
cm_comp_name:, cm_comp_rid:27258, cm_out:0, cm_netto:0, cm_brutto:2.7, cm_rid:38244, cm_date:0
cm_comp_name:, cm_comp_rid:2399, cm_out:1.7, cm_netto:1.7, cm_brutto:1.7, cm_rid:38244, cm_date:1
cm_comp_name:, cm_comp_rid:27254, cm_out:0.5, cm_netto:0.5, cm_brutto:0.5, cm_rid:38244, cm_date:1
cm_comp_name:, cm_comp_rid:1410, cm_out:3, cm_netto:3, cm_brutto:3, cm_rid:38244, cm_date:1
cm_comp_name:, cm_comp_rid:27257, cm_out:0.6, cm_netto:0.6, cm_brutto:0.6, cm_rid:38244, cm_date:1
cm_comp_name:, cm_comp_rid:1414, cm_out:0.1, cm_netto:0.1, cm_brutto:0.1, cm_rid:38244, cm_date:1
cm_comp_name:, cm_comp_rid:1837, cm_out:0.05, cm_netto:0.05, cm_brutto:0.05, cm_rid:38244, cm_date:1
cm_comp_name:, cm_comp_rid:26842, cm_out:0, cm_netto:0, cm_brutto:0.08, cm_rid:37518, cm_date:0
cm_comp_name:, cm_comp_rid:7229, cm_out:0.25, cm_netto:0.25, cm_brutto:0.25, cm_rid:37518, cm_date:1
cm_comp_name:, cm_comp_rid:1388, cm_out:0.01, cm_netto:0.01, cm_brutto:0.01, cm_rid:37518, cm_date:1
cm_comp_name:, cm_comp_rid:1628, cm_out:0.01, cm_netto:0.01, cm_brutto:0.01, cm_rid:37518, cm_date:1
cm_comp_name:, cm_comp_rid:1348, cm_out:0.01, cm_netto:0.01, cm_brutto:0.01, cm_rid:37518, cm_date:1
cm_comp_name:, cm_comp_rid:17177, cm_out:0.01, cm_netto:0.01, cm_brutto:0.01, cm_rid:37518, cm_date:1
cm_comp_name:, cm_comp_rid:26841, cm_out:0, cm_netto:0, cm_brutto:2.7, cm_rid:54989, cm_date:0
cm_comp_name:, cm_comp_rid:17628, cm_out:2.7, cm_netto:5.732, cm_brutto:5.732, cm_rid:54989, cm_date:1
cm_comp_name:, cm_comp_rid:26734, cm_out:0, cm_netto:0, cm_brutto:1, cm_rid:37265, cm_date:0
